,vars,qbalance
0,PreferredSharesNumber,quarterlyPreferredSharesNumber
1,OrdinarySharesNumber,quarterlyOrdinarySharesNumber
2,ShareIssued,quarterlyShareIssued
3,NetDebt,quarterlyNetDebt
4,TotalDebt,quarterlyTotalDebt
5,TangibleBookValue,quarterlyTangibleBookValue
6,InvestedCapital,quarterlyInvestedCapital
7,WorkingCapital,quarterlyWorkingCapital
8,NetTangibleAssets,quarterlyNetTangibleAssets
9,CapitalLeaseObligations,quarterlyCapitalLeaseObligations
10,CommonStockEquity,quarterlyCommonStockEquity
11,PreferredStockEquity,quarterlyPreferredStockEquity
12,TotalCapitalization,quarterlyTotalCapitalization
13,TotalEquityGrossMinorityInterest,quarterlyTotalEquityGrossMinorityInterest
14,MinorityInterest,quarterlyMinorityInterest
15,StockholdersEquity,quarterlyStockholdersEquity
16,OtherEquityInterest,quarterlyOtherEquityInterest
17,GainsLossesNotAffectingRetainedEarnings,quarterlyGainsLossesNotAffectingRetainedEarnings
18,OtherEquityAdjustments,quarterlyOtherEquityAdjustments
19,FixedAssetsRevaluationReserve,quarterlyFixedAssetsRevaluationReserve
20,ForeignCurrencyTranslationAdjustments,quarterlyForeignCurrencyTranslationAdjustments
21,MinimumPensionLiabilities,quarterlyMinimumPensionLiabilities
22,UnrealizedGainLoss,quarterlyUnrealizedGainLoss
23,TreasuryStock,quarterlyTreasuryStock
24,AdditionalPaidInCapital,quarterlyAdditionalPaidInCapital
25,RetainedEarnings,quarterlyRetainedEarnings
26,CapitalStock,quarterlyCapitalStock
27,OtherCapitalStock,quarterlyOtherCapitalStock
28,CommonStock,quarterlyCommonStock
29,PreferredStock,quarterlyPreferredStock
30,TotalLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest
31,OtherLiabilities,quarterlyOtherLiabilities
32,LiabilitiesOfDiscontinuedOperations,quarterlyLiabilitiesOfDiscontinuedOperations
33,PreferredSecuritiesOutsideStockEquity,quarterlyPreferredSecuritiesOutsideStockEquity
34,NonCurrentDeferredLiabilities,quarterlyNonCurrentDeferredLiabilities
35,NonCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
36,NonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities
37,CurrentDeferredLiabilities,quarterlyCurrentDeferredLiabilities
38,CurrentDeferredRevenue,quarterlyCurrentDeferredRevenue
39,CurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredTaxesLiabilities
40,EmployeeBenefits,quarterlyEmployeeBenefits
41,NonCurrentPensionAndOtherPostretirementBenefitPlans,quarterlyNonCurrentPensionAndOtherPostretirementBenefitPlans
42,LongTermProvisions,quarterlyLongTermProvisions
43,CurrentProvisions,quarterlyCurrentProvisions
44,LongTermDebtAndCapitalLeaseObligation,quarterlyLongTermDebtAndCapitalLeaseObligation
45,LongTermCapitalLeaseObligation,quarterlyLongTermCapitalLeaseObligation
46,LongTermDebt,quarterlyLongTermDebt
47,SubordinatedLiabilities,quarterlySubordinatedLiabilities
48,AdvanceFromFederalHomeLoanBanks,quarterlyAdvanceFromFederalHomeLoanBanks
49,DerivativeProductLiabilities,quarterlyDerivativeProductLiabilities
50,TradingLiabilities,quarterlyTradingLiabilities
51,CurrentDebtAndCapitalLeaseObligation,quarterlyCurrentDebtAndCapitalLeaseObligation
52,CurrentCapitalLeaseObligation,quarterlyCurrentCapitalLeaseObligation
53,CurrentDebt,quarterlyCurrentDebt
54,OtherCurrentBorrowings,quarterlyOtherCurrentBorrowings
55,LineOfCredit,quarterlyLineOfCredit
56,CommercialPaper,quarterlyCommercialPaper
57,CurrentNotesPayable,quarterlyCurrentNotesPayable
58,PayablesAndAccruedExpenses,quarterlyPayablesAndAccruedExpenses
59,CurrentAccruedExpenses,quarterlyCurrentAccruedExpenses
60,Payables,quarterlyPayables
61,OtherPayable,quarterlyOtherPayable
62,DuetoRelatedParties,quarterlyDuetoRelatedParties
63,DividendsPayable,quarterlyDividendsPayable
64,TotalTaxPayable,quarterlyTotalTaxPayable
65,IncomeTaxPayable,quarterlyIncomeTaxPayable
66,AccountsPayable,quarterlyAccountsPayable
67,SecuritiesLoaned,quarterlySecuritiesLoaned
68,FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase,quarterlyFederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase
69,FinancialInstrumentsSoldUnderAgreementsToRepurchase,quarterlyFinancialInstrumentsSoldUnderAgreementsToRepurchase
70,FederalFundsPurchased,quarterlyFederalFundsPurchased
71,TotalDeposits,quarterlyTotalDeposits
72,NonInterestBearingDeposits,quarterlyNonInterestBearingDeposits
73,InterestBearingDepositsLiabilities,quarterlyInterestBearingDepositsLiabilities
74,CustomerAccounts,quarterlyCustomerAccounts
75,DepositsbyBank,quarterlyDepositsbyBank
76,TotalAssets,quarterlyTotalAssets
77,OtherAssets,quarterlyOtherAssets
78,AssetsHeldForSale,quarterlyAssetsHeldForSale
79,DefinedPensionBenefit,quarterlyDefinedPensionBenefit
80,DeferredAssets,quarterlyDeferredAssets
81,DeferredTaxAssets,quarterlyDeferredTaxAssets
82,GoodwillAndOtherIntangibleAssets,quarterlyGoodwillAndOtherIntangibleAssets
83,OtherIntangibleAssets,quarterlyOtherIntangibleAssets
84,Goodwill,quarterlyGoodwill
85,NetPPE,quarterlyNetPPE
86,AccumulatedDepreciation,quarterlyAccumulatedDepreciation
87,GrossPPE,quarterlyGrossPPE
88,OtherProperties,quarterlyOtherProperties
89,Leases,quarterlyLeases
90,ConstructionInProgress,quarterlyConstructionInProgress
91,MachineryFurnitureEquipment,quarterlyMachineryFurnitureEquipment
92,BuildingsAndImprovements,quarterlyBuildingsAndImprovements
93,LandAndImprovements,quarterlyLandAndImprovements
94,Properties,quarterlyProperties
95,PrepaidAssets,quarterlyPrepaidAssets
96,Receivables,quarterlyReceivables
97,OtherReceivables,quarterlyOtherReceivables
98,DueFromRelatedParties,quarterlyDueFromRelatedParties
99,NotesReceivable,quarterlyNotesReceivable
100,AllowanceForNotesReceivable,quarterlyAllowanceForNotesReceivable
