,vars
0,DomesticSales
1,AdjustedGeographySegmentData
2,FreeCashFlow
3,RepurchaseOfCapitalStock
4,RepaymentOfDebt
5,IssuanceOfDebt
6,IssuanceOfCapitalStock
7,CapitalExpenditure
8,InterestPaidSupplementalData
9,IncomeTaxPaidSupplementalData
10,EndCashPosition
11,OtherCashAdjustmentOutsideChangeinCash
12,BeginningCashPosition
13,EffectOfExchangeRateChanges
14,ChangesInCash
15,OtherCashAdjustmentInsideChangeinCash
16,CashFlowFromDiscontinuedOperation
17,FinancingCashFlow
18,CashFromDiscontinuedFinancingActivities
19,CashFlowFromContinuingFinancingActivities
20,NetOtherFinancingCharges
21,InterestPaidCFF
22,ProceedsFromStockOptionExercised
23,CashDividendsPaid
24,PreferredStockDividendPaid
25,CommonStockDividendPaid
26,NetPreferredStockIssuance
27,PreferredStockPayments
28,PreferredStockIssuance
29,NetCommonStockIssuance
30,CommonStockPayments
31,CommonStockIssuance
32,NetIssuancePaymentsOfDebt
33,NetShortTermDebtIssuance
34,ShortTermDebtPayments
35,ShortTermDebtIssuance
36,NetLongTermDebtIssuance
37,LongTermDebtPayments
38,LongTermDebtIssuance
39,IncreaseDecreaseInDeposit
40,ChangeInFederalFundsAndSecuritiesSoldForRepurchase
41,InvestingCashFlow
42,CashFromDiscontinuedInvestingActivities
43,CashFlowFromContinuingInvestingActivities
44,NetOtherInvestingChanges
45,InterestReceivedCFI
46,DividendsReceivedCFI
47,NetBusinessPurchaseAndSale
48,SaleOfBusiness
49,PurchaseOfBusiness
50,NetIntangiblesPurchaseAndSale
51,SaleOfIntangibles
52,PurchaseOfIntangibles
53,NetPPEPurchaseAndSale
54,SaleOfPPE
55,PurchaseOfPPE
56,NetProceedsPaymentForLoan
57,PaymentForLoans
58,ProceedsFromLoans
59,NetInvestmentPropertiesPurchaseAndSale
60,SaleOfInvestmentProperties
61,PurchaseOfInvestmentProperties
62,NetInvestmentPurchaseAndSale
63,SaleOfInvestment
64,PurchaseOfInvestment
65,ProceedsPaymentInInterestBearingDepositsInBank
66,IncreaseinInterestBearingDepositsinBank
67,DecreaseinInterestBearingDepositsinBank
68,ProceedsPaymentFederalFundsSoldAndSecuritiesPurchasedUnderAgreementToResell
69,CapitalExpenditureReported
70,OperatingCashFlow
71,CashFromDiscontinuedOperatingActivities
72,CashFlowFromContinuingOperatingActivities
73,TaxesRefundPaid
74,InterestReceivedCFO
75,InterestPaidCFO
76,DividendReceivedCFO
77,DividendPaidCFO
78,ChangeInWorkingCapital
79,ChangeInOtherWorkingCapital
80,ChangeInOtherCurrentLiabilities
81,ChangeInOtherCurrentAssets
82,ChangeInLoans
83,ChangeInDeferredCharges
84,ChangeInPayablesAndAccruedExpense
85,ChangeInAccruedExpense
86,ChangeInPayable
87,ChangeInDividendPayable
88,ChangeInAccountPayable
89,ChangeInTaxPayable
90,ChangeInIncomeTaxPayable
91,ChangeInPrepaidAssets
92,ChangeInReceivables
93,ChangesInAccountReceivables
94,UnrealizedGainLossOnInvestmentSecurities
95,ProvisionForLoanLeaseAndOtherLosses
96,ExcessTaxBenefitFromStockBasedCompensation
97,StockBasedCompensation
98,AssetImpairmentCharge
99,AmortizationOfSecurities
100,AmortizationOfFinancingCostsAndDiscounts
101,OtherNonCashItems
102,DeferredTax
103,DeferredIncomeTax
104,DepreciationAmortizationDepletion
105,Depletion
106,DepreciationAndAmortization
107,AmortizationCashFlow
108,AmortizationOfIntangibles
109,Depreciation
110,OperatingGainsLosses
111,RealizedGainLossOnSaleOfLoansAndLease
112,PensionAndEmployeeBenefitExpense
113,EarningsLossesFromEquityInvestments
114,GainLossOnInvestmentSecurities
115,NetForeignCurrencyExchangeGainLoss
116,GainLossOnSaleOfPPE
117,GainLossOnSaleOfBusiness
118,NetIncomeFromContinuingOperations
119,CashFlowsfromusedinOperatingActivitiesDirect
120,ClassesofCashPayments
121,OtherCashPaymentsfromOperatingActivities
122,AllTaxesPaid
123,PaymentsonBehalfofEmployees
124,InterestandCommissionPaid
125,CashPaymentsforLoans
126,CashPaymentsforDepositsbyBanksandCustomers
127,ClassesofCashReceiptsfromOperatingActivities
128,OtherCashReceiptsfromOperatingActivities
129,CashReceiptsfromFeesandCommissions
130,CashReceiptsfromSecuritiesRelatedActivities
131,CashReceiptsfromLoans
132,CashReceiptsfromDepositsbyBanksandCustomers
133,CashReceiptsfromTaxRefunds
134,ChangeInInterestPayable
135,ChangeInInventory
136,ProvisionandWriteOffofAssets
137,TaxesRefundPaidDirect
138,InterestReceivedDirect
139,InterestPaidDirect
140,DividendsReceivedDirect
141,DividendsPaidDirect
142,PaymentstoSuppliersforGoodsandServices
143,ReceiptsfromGovernmentGrants
144,ReceiptsfromCustomers
