,vars,qincome
0,TotalRevenue,quarterlyTotalRevenue
1,NormalizedEBITDA,quarterlyNormalizedEBITDA
2,NormalizedDilutedEPS,quarterlyNormalizedDilutedEPS
3,NormalizedBasicEPS,quarterlyNormalizedBasicEPS
4,TotalUnusualItems,quarterlyTotalUnusualItems
5,TotalUnusualItemsExcludingGoodwill,quarterlyTotalUnusualItemsExcludingGoodwill
6,NetIncomeFromContinuingOperationNetMinorityInterest,quarterlyNetIncomeFromContinuingOperationNetMinorityInterest
7,ReconciledDepreciation,quarterlyReconciledDepreciation
8,EBITDA,quarterlyEBITDA
9,EBIT,quarterlyEBIT
10,TotalMoneyMarketInvestments,quarterlyTotalMoneyMarketInvestments
11,ContinuingAndDiscontinuedDilutedEPS,quarterlyContinuingAndDiscontinuedDilutedEPS
12,ContinuingAndDiscontinuedBasicEPS,quarterlyContinuingAndDiscontinuedBasicEPS
13,NormalizedIncome,quarterlyNormalizedIncome
14,NetIncomeFromContinuingAndDiscontinuedOperation,quarterlyNetIncomeFromContinuingAndDiscontinuedOperation
15,InterestIncomeAfterProvisionForLoanLoss,quarterlyInterestIncomeAfterProvisionForLoanLoss
16,RentExpenseSupplemental,quarterlyRentExpenseSupplemental
17,ReportedNormalizedDilutedEPS,quarterlyReportedNormalizedDilutedEPS
18,ReportedNormalizedBasicEPS,quarterlyReportedNormalizedBasicEPS
19,DividendPerShare,quarterlyDividendPerShare
20,DilutedAverageShares,quarterlyDilutedAverageShares
21,BasicAverageShares,quarterlyBasicAverageShares
22,DilutedEPS,quarterlyDilutedEPS
23,DilutedEPSOtherGainsLosses,quarterlyDilutedEPSOtherGainsLosses
24,TaxLossCarryforwardDilutedEPS,quarterlyTaxLossCarryforwardDilutedEPS
25,DilutedAccountingChange,quarterlyDilutedAccountingChange
26,DilutedExtraordinary,quarterlyDilutedExtraordinary
27,DilutedDiscontinuousOperations,quarterlyDilutedDiscontinuousOperations
28,DilutedContinuousOperations,quarterlyDilutedContinuousOperations
29,BasicEPS,quarterlyBasicEPS
30,BasicEPSOtherGainsLosses,quarterlyBasicEPSOtherGainsLosses
31,TaxLossCarryforwardBasicEPS,quarterlyTaxLossCarryforwardBasicEPS
32,BasicAccountingChange,quarterlyBasicAccountingChange
33,BasicExtraordinary,quarterlyBasicExtraordinary
34,BasicDiscontinuousOperations,quarterlyBasicDiscontinuousOperations
35,BasicContinuousOperations,quarterlyBasicContinuousOperations
36,DilutedNIAvailtoComStockholders,quarterlyDilutedNIAvailtoComStockholders
37,AverageDilutionEarnings,quarterlyAverageDilutionEarnings
38,NetIncomeCommonStockholders,quarterlyNetIncomeCommonStockholders
39,OtherThanPreferredStockDividend,quarterlyOtherThanPreferredStockDividend
40,PreferredStockDividends,quarterlyPreferredStockDividends
41,NetIncome,quarterlyNetIncome
42,MinorityInterests,quarterlyMinorityInterests
